+------+------------------------------------------+----------------+
| Rank | Team                                     | Score          |
| 101  | Potusin                                  | 25051465766.0  |
| 102  | Slow                                     | 22718677458.0  |
| 103  | Travelling Types                         | 21280482497.0  |
| 104  | elM4gh3LocoEnCpp                         | 17539246689.0  |
| 105  | bir3                                     | 16808979449.0  |
| 106  | RGBTeam                                  | 16608273323.0  |
| 107  | cyberecho                                | 16123393764.0  |
| 108  | shocr                                    | 12823168790.0  |
| 109  | vip.delete 😅                            | 10148648882.0  |
| 110  | Channable & Friends                      | 9514765032.0   |
| 111  | Team Meh                                 | 8796006487.0   |
| 112  | win32asm                                 | 8412786244.0   |
| 113  | tryitagain                               | 8305558011.0   |
| 114  | Respect_Oyama                            | 8181235395.0   |
| 115  | Imaginary Ones                           | 7776094212.0   |
| 116  | xyz600                                   | 6998280096.0   |
| 117  | xyz                                      | 6688851642.0   |
| 118  | idkjava                                  | 6479854143.0   |
| 119  | jakeswenson                              | 5700045326.0   |
| 120  | cdcnqr                                   | 5227626725.0   |
| 121  | hiro116s                                 | 5187276760.0   |
| 122  | kaizaburo                                | 4861465065.0   |
| 123  | jabber.ru                                | 4852968270.0   |
| 124  | a9ua1i0n                                 | 4090916838.0   |
| 125  | balonit_bros                             | 3787789330.0   |
| 126  | seiyakyokai                              | 3745376721.0   |
| 127  | KMC                                      | 3703694573.0   |
| 128  | zhelih                                   | 3414223834.0   |
| 129  | tarstars                                 | 3221595734.0   |
| 130  | ZebraInfsuedHamsters                     | 3148827022.0   |
| 131  | NoWar_kt                                 | 3045938423.0   |
| 132  | Paisley Paradox                          | 2942256270.0   |
| 133  | nikitonsky                               | 2921616540.0   |
| 134  | mynameisdaniil                           | 2865080817.0   |
| 135  | zloyrusskiy                              | 2525809123.0   |
| 136  | xffox                                    | 2340613145.0   |
| 137  | Team Junk Food                           | 2289632943.0   |
| 138  | prozacchiwawa                            | 2221089526.0   |
| 139  | Vladyslav Tokar                          | 2109487519.0   |
| 140  | lambdametal                              | 1553639214.0   |
| 141  | eval_ctx                                 | 1504360303.0   |
| 142  | gybson_samara                            | 1403943105.0   |
| 143  | Dis Functional                           | 1373282970.0   |
| 144  | maximiliank                              | 1288506520.0   |
| 145  | kyoto-ni-modoritai-club                  | 1006741332.0   |
| 146  | Sp00kiel                                 | 966656802.0    |
| 147  | qweeze                                   | 845690568.0    |
| 148  | xiej                                     | 754525054.0    |
| 149  | DaisySh                                  | 363601828.0    |
| 150  | alex.prisadkov@gmail.com                 | 131984681.0    |
| 151  | hari64                                   | 75046964.0     |
| 152  | Bellanzio                                | 57964028.0     |
| 153  | null                                     | 13394777.0     |
| 154  | el_susla                                 | 11098680.0     |
| 155  | enbilop                                  | 7375745.0      |
| 156  | kargo                                    | 1593432.0      |
| 157  | ghostdunk                                | 1034339.0      |
| 158  | burningpony                              | 624291.0       |
| 159  | keles                                    | 0.0            |
| 160  | sh_mug                                   | 0.0            |
| 161  | LilMeyer                                 | 0.0            |
| 162  | nhuthai08                                | 0.0            |
| 163  | darnley                                  | 0.0            |
+------+------------------------------------------+----------------+
